wavelength,Cycle_1_0,Cycle_2_0,Cycle_3_0,Cycle_4_0,Cycle_5_0,Cycle_6_0,,Peak Spectroscopy,,,
324,8328.8494,4469.1864,3263.6692,5222.692,4901.7299,6613.0174,,,Title,(324.739 - 324.795),(327.373 - 327.438)
324.001,9566.8901,4227.5249,3079.2818,4838.3551,4767.5665,6599.8652,,,Cycle_1_0.080ppm,2903.8763,1511.6292
324.002,8617.9799,4373.3858,3807.2698,5504.689,5110.6893,6913.0041,,,Cycle_2_0.090ppm,3241.4162,1556.3523
324.003,9270.5815,4970.0811,3553.3487,5405.0861,5342.177,7680.7124,,,Cycle_3_0.100ppm,3373.0234,1644.1428
324.004,8773.238,5406.6165,3724.6494,6943.6739,4566.594,8640.026,,,Cycle_4_0.110ppm,3595.8712,1791.3372
324.005,8909.7254,5427.6159,3896.896,7020.3509,5442.4671,7579.967,,,Cycle_5_0.115ppm,3755.3499,2036.8784
324.006,8694.4167,6158.1466,4054.4729,7491.1745,5546.3984,8428.892,,,Cycle_6_0.120ppm,4109.828,1927.9131
324.007,9416.4945,5863.4983,4058.2337,6841.8906,5695.0569,8367.4479,,,,,
324.008,8557.4822,6545.8419,4159.9391,7705.4394,6295.1509,8610.3742,,,,,
324.009,8664.9577,6139.5113,3870.7551,7998.6625,6176.0849,10242.0282,,,,,
324.01,7914.9408,6883.7335,4375.706,8346.5927,5984.005,9504.1087,,,,,
324.011,7175.3582,6985.3279,4795.6259,8482.4302,6960.7325,9185.1566,,,,,
324.012,7604.3686,7355.5021,4871.8601,9447.3061,6421.9606,9904.2415,,,,,
324.013,7448.2899,8176.8421,4504.3909,9366.9556,6198.5251,10297.3881,,,,,
324.014,8326.6648,7451.3057,4905.2093,10286.8209,6564.4927,9998.7568,,,,,
324.015,7512.1674,8032.9265,5534.3575,9591.6312,6750.7601,10183.1266,,,,,
324.016,7507.1745,8291.6787,5670.8325,9630.8331,6541.5988,11486.7104,,,,,
324.017,7105.7967,7919.5874,5849.0795,10410.7523,7439.1875,12389.5275,,,,,
324.018,7105.4841,8489.0598,6297.1799,10221.6094,7667.4361,10914.3805,,,,,
324.019,6904.62,8397.1986,6129.9186,9062.7323,6403.9898,12277.5697,,,,,
324.02,6298.4066,8354.1901,5755.4585,11293.1502,7154.1712,12274.3562,,,,,
324.021,6095.4162,8955.2551,6939.8213,10897.3029,7712.0484,12273.5543,,,,,
324.022,6722.4748,9309.6214,6388.7399,9915.6768,6715.8453,12591.1015,,,,,
324.023,6037.1594,9462.1243,6919.5339,9141.6746,7442.7072,12673.0449,,,,,
324.024,5919.6334,9352.3237,7391.5547,9349.6451,8383.5199,12458.4102,,,,,
324.025,4733.8902,8262.3938,6953.3293,9597.0133,8548.8468,12815.0583,,,,,
324.026,6052.8779,9415.2172,6255.6292,9691.6547,8466.3124,12934.966,,,,,
324.027,5202.9888,8632.6514,9044.6981,8519.9923,8835.5043,11492.5907,,,,,
324.028,4854.4221,8481.0868,8391.4519,8874.3513,7823.8876,12958.8661,,,,,
324.029,5155.1385,7883.5235,8110.9341,8744.6261,8824.6774,13904.9964,,,,,
324.03,4926.4134,7302.3987,8728.0334,7765.3911,8254.674,13450.4867,,,,,
324.031,4489.5401,7967.2632,8948.9727,7883.8152,8933.8345,12742.2681,,,,,
324.032,4192.2904,8263.0064,9126.5348,7614.6874,9264.3675,13830.0675,,,,,
324.033,4541.0948,7642.9445,10949.5211,6225.6027,8441.1443,14267.5926,,,,,
324.034,4044.9782,7792.1698,9862.7168,6787.4575,9171.8542,13303.612,,,,,
324.035,3757.9696,7645.4891,11028.7675,6291.3802,9227.9573,13098.5728,,,,,
324.036,3745.7432,7755.0008,10477.6516,5759.4146,8806.4831,13052.7787,,,,,
324.037,3727.4635,6916.4774,11439.9213,5770.9482,10158.5642,13460.3014,,,,,
324.038,3448.0981,6979.4841,10178.5527,4744.4664,9721.7705,12627.0349,,Cycle,Cu Conc. (ppm),Cu Leached (%),
324.039,3403.7072,6429.4017,10724.8148,4139.2103,9353.7813,13497.9394,,1,0.08,0.0333,
324.04,3697.8433,5505.4581,11808.8101,4211.9803,9650.0145,13577.1469,,2,0.09,0.0375,
324.041,3038.0589,5198.6373,12255.7939,3493.6482,9125.308,12936.7997,,3,0.1,0.0417,
324.042,3582.4234,5989.9135,12718.2748,3100.7065,10116.2101,12689.4288,,4,0.11,0.0458,
324.043,3372.1951,5265.0147,11617.5164,3288.9819,10058.1807,12852.5169,,5,0.115,0.0479,
324.044,3002.4465,4907.5554,12295.4992,3198.0548,8872.8243,14149.3162,,6,0.12,0.05,
324.045,3185.4287,4599.732,13889.6261,2794.2992,9615.8769,13754.1556,,,,,
324.046,2852.7753,4319.5803,12819.8819,2495.4892,9942.0507,12394.4114,,,,,
324.047,2864.0264,3864.4334,13374.0143,2145.8334,10140.1592,13452.8806,,,,,
324.048,2936.66,3934.7156,13942.1137,2042.5931,10524.3271,12954.278,,,,,
324.049,2756.0606,3495.8984,13908.5555,2234.9441,9594.7636,11374.7437,,,,,
324.05,2976.9442,3698.285,12640.2417,1996.9233,9865.1353,12587.327,,,,,
324.051,3087.3925,3889.2662,13076.5837,1640.556,9964.7526,12285.0504,,,,,
324.052,2792.427,3227.4819,13027.0893,1577.7669,10120.9728,12101.0162,,,,,
324.053,2750.7502,2898.9735,13252.3676,1497.8694,9503.9878,12398.0909,,,,,
324.054,2684.1993,3105.0432,11982.5941,1470.3681,9689.1889,11010.4076,,,,,
324.055,2711.364,2598.4445,11731.1065,1650.7771,10316.6797,12474.9732,,,,,
324.056,2787.3796,2872.4132,13493.5741,1381.5729,9580.6276,11887.4346,,,,,
324.057,3122.2367,2359.88,12565.5228,1106.0057,9130.4704,11131.4975,,,,,
324.058,2715.711,2335.4906,10978.9529,1304.1443,9914.256,11554.5471,,,,,
324.059,3039.5321,2065.6025,11188.9946,1207.2002,8741.6204,10240.4421,,,,,
324.06,2898.5722,2325.3949,11138.5594,1082.1016,9402.1407,12173.3046,,,,,
324.061,3481.7428,2614.2428,10606.1052,1357.8947,8804.6942,10600.8942,,,,,
324.062,3462.5435,1962.3197,11326.2291,1014.8468,8914.8634,9419.0874,,,,,
324.063,3164.9409,2099.2129,10201.6056,1118.3829,9004.3394,10619.568,,,,,
324.064,3131.0385,2142.1161,10947.222,1003.7817,8794.5328,10732.5509,,,,,
324.065,3854.3504,2306.4812,10994.7471,1234.1291,8675.469,10073.2365,,,,,
324.066,3258.6452,2249.7783,9943.5426,1075.4415,8536.8001,9616.2966,,,,,
324.067,3696.0313,2472.5221,10057.1297,1095.6758,9807.0788,9237.1867,,,,,
324.068,4024.8112,2298.596,9273.8589,978.2207,9501.2775,10611.1398,,,,,
324.069,4016.79,2355.0018,9825.5225,950.1377,9310.1398,10407.8107,,,,,
324.07,3673.0653,2044.3583,9239.0145,1119.9605,8702.491,9808.1542,,,,,
324.071,3772.1411,2104.8405,9308.8374,1024.3807,9712.8688,8506.2865,,,,,
324.072,3930.6905,2488.8474,8963.4083,1044.7982,8581.2345,9474.7012,,,,,
324.073,4156.4148,2538.7015,9091.2394,922.0232,8663.8613,9328.5191,,,,,
324.074,4311.7022,2441.7047,9647.1127,878.8909,8664.8296,7909.1548,,,,,
324.075,4707.8704,2784.0499,10050.0355,1092.8973,8680.9931,8887.5726,,,,,
324.076,4375.7645,3168.2134,9459.0876,1199.2144,8933.1465,8558.5829,,,,,
324.077,4649.6355,2872.4403,9345.9602,834.4276,9008.7582,8686.4127,,,,,
324.078,5019.418,3319.5411,9417.0867,927.1439,8433.2479,8302.8882,,,,,
324.079,5228.4834,3386.8737,10036.2485,937.5477,8444.0545,8384.9032,,,,,
324.08,5284.6322,3180.6505,10153.9321,850.2811,8604.0119,8071.549,,,,,
324.081,5521.8447,3602.6671,9285.1845,1254.8212,8706.8374,7362.1259,,,,,
324.082,5575.1381,3584.0719,9563.6513,1189.8131,7720.5755,6507.505,,,,,
324.083,5792.7857,4036.8445,9393.097,835.9938,8039.3369,7544.195,,,,,
324.084,5767.3885,4551.3684,9640.1716,1100.2028,7652.6825,7321.4051,,,,,
324.085,6320.084,4272.8051,8542.512,1114.6246,8199.4979,6452.4391,,,,,
324.086,5963.737,5053.194,10235.004,1043.5008,7762.001,6440.3121,,,,,
324.087,6711.8039,4965.1857,10081.996,1135.3316,8352.7624,6379.6963,,,,,
324.088,6419.4238,5561.4531,9095.4434,1116.9373,7825.5496,5987.3279,,,,,
324.089,7127.2517,6222.9766,9324.2609,844.4103,9254.6495,5822.9986,,,,,
324.09,7367.3145,6744.7535,9951.0026,1027.2865,8996.2145,5266.1643,,,,,
324.091,7347.4324,7859.8639,9584.9879,1098.9842,8418.4149,4975.8176,,,,,
324.092,7898.3204,7974.8624,9691.4604,1191.4515,8310.0104,5699.2946,,,,,
324.093,8200.7163,8287.1795,9635.0222,1159.9658,8289.4731,5297.207,,,,,
324.094,7314.4432,8463.2298,9284.0794,1134.4782,7518.9575,5303.325,,,,,
324.095,9255.7205,8335.3874,9553.8184,1158.4859,7184.6738,5355.9726,,,,,
324.096,8838.3821,9853.7595,9506.9963,1049.7712,7352.6604,4678.9448,,,,,
324.097,8618.0002,10817.657,9193.3934,1442.9506,7871.9759,4687.3933,,,,,
324.098,10555.6244,13060.2598,9667.7749,1385.054,8356.6788,4837.8066,,,,,
324.099,8931.9068,12584.2358,9975.3953,1343.5901,7296.7072,4132.8745,,,,,
324.1,10392.516,13239.5099,9326.7351,1400.1486,6877.329,3984.6408,,,,,
324.101,10428.2244,15305.6838,7974.2428,1343.0972,6673.3437,3883.3212,,,,,
324.102,10195.2844,13526.338,9169.2197,1385.9657,7075.5046,3731.3371,,,,,
324.103,11280.4011,15575.6807,10801.6117,1390.1403,6563.6149,3320.0217,,,,,
324.104,12614.9541,14621.5603,10426.7383,1737.2721,6294.8038,3518.8694,,,,,
324.105,12120.0548,15372.2183,8156.6621,1637.3405,6217.8879,3184.4707,,,,,
324.106,12017.1742,16649.6856,8546.9296,1495.372,6083.0202,3058.1949,,,,,
324.107,13700.5748,16875.7146,10004.5655,1696.6083,5989.1233,2987.281,,,,,
324.108,14034.9467,19305.6298,9645.6021,1941.089,5663.6889,2657.7335,,,,,
324.109,12069.1606,18995.3521,8828.0482,1826.0672,5674.6534,2809.4356,,,,,
324.11,13654.3874,17921.491,9018.076,1896.8587,5509.6417,2578.1369,,,,,
324.111,14595.7634,17198.9078,7442.6375,1877.6716,5592.103,2735.6559,,,,,
324.112,15258.8696,16981.9215,8196.4317,2182.7019,4918.2538,2350.7565,,,,,
324.113,14144.3695,18729.9463,8953.0607,2291.8102,4501.2336,2604.2786,,,,,
324.114,16136.4944,18347.6966,8525.9721,2232.8618,4831.2838,2289.9773,,,,,
324.115,16560.1851,19244.3801,6842.3839,2562.1828,3861.2715,2204.8279,,,,,
324.116,17115.7734,16814.7884,7486.9265,2675.8298,4347.8713,2027.1198,,,,,
324.117,17620.609,18410.9496,7158.2158,2819.1685,4280.5647,1859.7278,,,,,
324.118,17053.2786,16888.7873,7189.0011,3077.6399,3596.0028,2052.8677,,,,,
324.119,17276.9338,18161.0876,6557.5999,2700.5584,3818.2683,1690.4472,,,,,
324.12,17739.2421,15919.5953,7202.9314,3304.8215,3218.6603,1645.2336,,,,,
324.121,18160.328,14909.7227,7576.5856,3003.9269,3238.898,2033.7372,,,,,
324.122,17370.4593,15088.7587,7135.4003,3264.4253,3452.6011,1992.9411,,,,,
324.123,17390.2113,16377.4328,7371.6598,3417.9434,2718.8749,1616.7672,,,,,
324.124,19644.751,13640.3239,6851.8895,3852.0311,3231.789,1552.2264,,,,,
324.125,19981.5319,15410.0599,5952.0692,4238.5628,2863.5937,1609.7643,,,,,
324.126,19118.0826,14930.1369,5843.3348,4854.4114,2618.4384,1423.0864,,,,,
324.127,19378.0954,14506.2061,6500.9359,4302.5684,2448.6013,1434.1921,,,,,
324.128,18679.5157,14504.7777,6861.0652,4850.6829,2450.7311,1697.6457,,,,,
324.129,19628.1004,13487.6348,6529.8027,5382.1906,2288.6587,1432.6419,,,,,
324.13,19989.1685,14354.9454,6022.4646,5012.9162,2401.1438,1489.3072,,,,,
324.131,18117.268,15641.3602,5956.7582,5833.2652,1918.9366,1559.0061,,,,,
324.132,17702.6691,15728.5631,5921.5904,6032.8517,2443.2392,1317.1214,,,,,
324.133,18206.2836,15796.2745,5611.668,6749.1554,2334.0103,1242.3431,,,,,
324.134,19995.7291,16821.1332,5441.4298,7422.513,2158.2694,1605.7848,,,,,
324.135,19639.4532,17757.8315,5375.3345,7492.0401,2320.3974,1449.0961,,,,,
324.136,19670.2687,18415.8035,5549.6721,7407.7149,1802.8431,1351.7507,,,,,
324.137,16714.6429,16190.4643,5706.7367,8994.4274,2125.5501,1447.1851,,,,,
